 > # parameters: {n_params}
batch loss | 4.0417041779 |          1 | 11.498576641082764
batch loss | 3.9201121330 |          2 | 22.416095733642578
batch loss | 3.4466729164 |          3 | 28.793281078338623
epoch loss | 3.8028297424 |          3 | 28.794167518615723
type loss  | 0.9850672285 |          3 | 28.79446291923523
ibi loss   | 4.7571794192 |          3 | 28.794641256332397
local_vel_mean loss | 4.4753041267 |          3 | 28.794799327850342
artic_whole loss | 4.7213323911 |          3 | 28.794943809509277
artic_fract loss | 3.0506821473 |          3 | 28.795079946517944
timing_dev_whole loss | 3.0658629735 |          3 | 28.795210599899292
timing_dev_fract loss | 4.4803751310 |          3 | 28.79534912109375
note_vel_diff loss | 4.8868347804 |          3 | 28.795506238937378
batch loss | 2.8378200531 |          4 | 39.089393615722656
batch loss | 2.0721919537 |          5 | 49.61603546142578
batch loss | 1.7886494398 |          6 | 56.09410262107849
epoch loss | 2.2328871489 |          6 | 56.09508562088013
type loss  | 0.5764509042 |          6 | 56.09541845321655
ibi loss   | 2.1576550802 |          6 | 56.09561276435852
local_vel_mean loss | 2.2414691051 |          6 | 56.09578585624695
artic_whole loss | 1.9727240602 |          6 | 56.09594249725342
artic_fract loss | 2.9299117724 |          6 | 56.09609079360962
timing_dev_whole loss | 1.0262195468 |          6 | 56.09623742103577
timing_dev_fract loss | 3.2572329044 |          6 | 56.09639596939087
note_vel_diff loss | 3.7014339765 |          6 | 56.096543073654175
batch loss | 1.8048603535 |          7 | 62.53700041770935
batch loss | 1.7615593672 |          8 | 73.0184714794159
batch loss | 1.8775171041 |          9 | 83.31893873214722
epoch loss | 1.8146456083 |          9 | 83.31982445716858
type loss  | 0.5928437710 |          9 | 83.32028937339783
ibi loss   | 1.0579203963 |          9 | 83.32067537307739
local_vel_mean loss | 1.6762032509 |          9 | 83.32089328765869
artic_whole loss | 0.7069329222 |          9 | 83.32105326652527
artic_fract loss | 2.9498277505 |          9 | 83.32121133804321
timing_dev_whole loss | 0.5427474181 |          9 | 83.32137727737427
timing_dev_fract loss | 3.3247346083 |          9 | 83.3217043876648
note_vel_diff loss | 3.6659546693 |          9 | 83.32191300392151
batch loss | 1.7301629782 |         10 | 89.74542427062988
batch loss | 1.6273093224 |         11 | 100.31217789649963
batch loss | 1.7463576794 |         12 | 110.56197214126587
epoch loss | 1.7012766600 |         12 | 110.56290793418884
type loss  | 0.5332898299 |         12 | 110.56319117546082
ibi loss   | 0.8597340782 |         12 | 110.56340885162354
local_vel_mean loss | 1.5180975199 |         12 | 110.56357431411743
artic_whole loss | 0.7093974153 |         12 | 110.56372714042664
artic_fract loss | 3.0726785660 |         12 | 110.56387901306152
timing_dev_whole loss | 0.4990160167 |         12 | 110.56402111053467
timing_dev_fract loss | 3.0286071301 |         12 | 110.56416320800781
note_vel_diff loss | 3.3893927733 |         12 | 110.56428647041321
batch loss | 1.7074637413 |         13 | 117.08871722221375
batch loss | 1.5946469307 |         14 | 127.63938593864441
batch loss | 1.6948084831 |         15 | 137.98186445236206
epoch loss | 1.6656397184 |         15 | 137.98285913467407
type loss  | 0.5451207757 |         15 | 137.98316621780396
ibi loss   | 0.7312316100 |         15 | 137.9833526611328
local_vel_mean loss | 1.2946209311 |         15 | 137.98351979255676
artic_whole loss | 0.6516628663 |         15 | 137.98366498947144
artic_fract loss | 3.0195206801 |         15 | 137.98381328582764
timing_dev_whole loss | 0.5242103835 |         15 | 137.98396587371826
timing_dev_fract loss | 3.0924952825 |         15 | 137.98410868644714
note_vel_diff loss | 3.4662552675 |         15 | 137.9842553138733
batch loss | 1.6959581375 |         16 | 144.41677689552307
batch loss | 1.5684890747 |         17 | 154.89911699295044
batch loss | 1.6180565357 |         18 | 165.21563935279846
epoch loss | 1.6275012493 |         18 | 165.21659755706787
type loss  | 0.5791629950 |         18 | 165.21693181991577
ibi loss   | 0.7168088555 |         18 | 165.2172179222107
local_vel_mean loss | 1.3147856196 |         18 | 165.21739721298218
artic_whole loss | 0.6214315693 |         18 | 165.21755361557007
artic_fract loss | 2.9074344635 |         18 | 165.21770000457764
timing_dev_whole loss | 0.5536280473 |         18 | 165.21784329414368
timing_dev_fract loss | 2.9727113247 |         18 | 165.2179822921753
note_vel_diff loss | 3.3540466626 |         18 | 165.2181179523468
batch loss | 1.5681365728 |         19 | 175.74104356765747
batch loss | 1.6623120308 |         20 | 181.9541187286377
batch loss | 1.6042734385 |         21 | 192.13415455818176
epoch loss | 1.6115740140 |         21 | 192.13501167297363
type loss  | 0.5239881674 |         21 | 192.13521528244019
ibi loss   | 0.7559420268 |         21 | 192.13532066345215
local_vel_mean loss | 1.2678538362 |         21 | 192.13540863990784
artic_whole loss | 0.6294656595 |         21 | 192.135479927063
artic_fract loss | 2.9240086873 |         21 | 192.13554501533508
timing_dev_whole loss | 0.4974817932 |         21 | 192.1356086730957
timing_dev_fract loss | 2.9365113576 |         21 | 192.135671377182
note_vel_diff loss | 3.3573401769 |         21 | 192.13573288917542
batch loss | 1.6639357805 |         22 | 198.4027042388916
batch loss | 1.5997011662 |         23 | 208.64141941070557
batch loss | 1.5639352798 |         24 | 219.12970280647278
epoch loss | 1.6091907422 |         24 | 219.1305980682373
type loss  | 0.5383620560 |         24 | 219.13087701797485
ibi loss   | 0.7686467767 |         24 | 219.13105750083923
local_vel_mean loss | 1.2737443050 |         24 | 219.13121056556702
artic_whole loss | 0.6248629292 |         24 | 219.131352186203
artic_fract loss | 2.9155845642 |         24 | 219.13150787353516
timing_dev_whole loss | 0.5274038712 |         24 | 219.13164567947388
