 > # parameters: {n_params}
train loss | 2.4375415845 |          1 | 200.2824251651764
learning rate | 0.0007000000 |          1 | 200.28292179107666
type loss  | 0.5260593935 |          1 | 200.28315949440002
ibi loss   | 1.6990662692 |          1 | 200.28332948684692
local_vel_mean loss | 1.7010498573 |          1 | 200.28351545333862
artic loss | 3.5253032483 |          1 | 200.28367686271667
timing_dev loss | 3.3734981883 |          1 | 200.2838339805603
note_vel_diff loss | 3.8002725188 |          1 | 200.28402662277222
train loss | 2.0214016214 |          2 | 403.77732133865356
learning rate | 0.0007937500 |          2 | 403.7777953147888
type loss  | 0.4263941147 |          2 | 403.7780728340149
ibi loss   | 0.8435975041 |          2 | 403.7782506942749
local_vel_mean loss | 0.9538248016 |          2 | 403.7784104347229
artic loss | 3.3925725780 |          2 | 403.7785632610321
timing_dev loss | 2.9407832548 |          2 | 403.778715133667
note_vel_diff loss | 3.5712375119 |          2 | 403.7788813114166
train loss | 1.8987445626 |          3 | 615.3286447525024
learning rate | 0.0008875000 |          3 | 615.3291845321655
type loss  | 0.4239737605 |          3 | 615.3294217586517
ibi loss   | 0.6618911838 |          3 | 615.32958984375
local_vel_mean loss | 0.7496835410 |          3 | 615.3297412395477
artic loss | 3.2776865829 |          3 | 615.3299043178558
timing_dev loss | 2.8230855335 |          3 | 615.3300545215607
note_vel_diff loss | 3.4561467357 |          3 | 615.3301928043365
train loss | 1.6415525628 |          4 | 808.2203502655029
learning rate | 0.0009812500 |          4 | 808.2208063602448
type loss  | 0.1032931130 |          4 | 808.2210595607758
ibi loss   | 0.4915106158 |          4 | 808.2212345600128
local_vel_mean loss | 0.6011151123 |          4 | 808.2213878631592
artic loss | 2.9752671849 |          4 | 808.2215316295624
timing_dev loss | 2.5294572012 |          4 | 808.2216856479645
note_vel_diff loss | 3.1486721188 |          4 | 808.2218322753906
train loss | 1.6188510209 |          5 | 1010.5530359745026
learning rate | 0.0010000000 |          5 | 1010.5533964633942
type loss  | 0.0102422966 |          5 | 1010.5535171031952
ibi loss   | 0.4789031040 |          5 | 1010.5535936355591
local_vel_mean loss | 0.5977330816 |          5 | 1010.5536632537842
artic loss | 2.9682227001 |          5 | 1010.5537288188934
timing_dev loss | 2.5174924564 |          5 | 1010.553793668747
note_vel_diff loss | 3.1405124664 |          5 | 1010.5538790225983
train loss | 1.6156324269 |          6 | 1204.259399652481
learning rate | 0.0010000000 |          6 | 1204.2598764896393
type loss  | 0.0069902774 |          6 | 1204.2601282596588
ibi loss   | 0.4785883109 |          6 | 1204.260304927826
local_vel_mean loss | 0.5958991897 |          6 | 1204.2604551315308
artic loss | 2.9625454731 |          6 | 1204.2606041431427
timing_dev loss | 2.5133092962 |          6 | 1204.2607488632202
note_vel_diff loss | 3.1364620328 |          6 | 1204.260894536972
train loss | 1.6155875567 |          7 | 1392.5454123020172
learning rate | 0.0010000000 |          7 | 1392.5459394454956
type loss  | 0.0060749437 |          7 | 1392.5462062358856
ibi loss   | 0.4733482076 |          7 | 1392.5463778972626
local_vel_mean loss | 0.5951754545 |          7 | 1392.5465321540833
artic loss | 2.9632634707 |          7 | 1392.5466933250427
timing_dev loss | 2.5179517912 |          7 | 1392.5468485355377
note_vel_diff loss | 3.1377113611 |          7 | 1392.5469892024994
train loss | 1.6144978758 |          8 | 1580.978221654892
learning rate | 0.0010000000 |          8 | 1580.978744506836
type loss  | 0.0054487300 |          8 | 1580.9790139198303
ibi loss   | 0.4717907876 |          8 | 1580.979557275772
local_vel_mean loss | 0.5951249567 |          8 | 1580.9799032211304
artic loss | 2.9667468052 |          8 | 1580.9801089763641
timing_dev loss | 2.5123208221 |          8 | 1580.9802706241608
note_vel_diff loss | 3.1355551295 |          8 | 1580.9806578159332
train loss | 1.6135337353 |          9 | 1771.0734491348267
learning rate | 0.0010000000 |          9 | 1771.074007987976
type loss  | 0.0050853764 |          9 | 1771.0743408203125
ibi loss   | 0.4700046496 |          9 | 1771.0747883319855
local_vel_mean loss | 0.5954440207 |          9 | 1771.0753638744354
artic loss | 2.9611273836 |          9 | 1771.0756030082703
timing_dev loss | 2.5111382753 |          9 | 1771.0757710933685
note_vel_diff loss | 3.1384027004 |          9 | 1771.0759596824646
train loss | 1.6141808815 |         10 | 1959.716078042984
learning rate | 0.0010000000 |         10 | 1959.7165570259094
type loss  | 0.0046895856 |         10 | 1959.7168300151825
ibi loss   | 0.4691898903 |         10 | 1959.7170190811157
local_vel_mean loss | 0.5955008313 |         10 | 1959.7171812057495
artic loss | 2.9645437784 |         10 | 1959.7173342704773
timing_dev loss | 2.5143901696 |         10 | 1959.7174849510193
note_vel_diff loss | 3.1367710289 |         10 | 1959.7176351547241
train loss | 1.6132293036 |         11 | 2147.1634962558746
learning rate | 0.0010000000 |         11 | 2147.1639425754547
type loss  | 0.0044019420 |         11 | 2147.1641943454742
ibi loss   | 0.4681063063 |         11 | 2147.1643586158752
local_vel_mean loss | 0.5944991714 |         11 | 2147.1645069122314
artic loss | 2.9639714826 |         11 | 2147.164647102356
timing_dev loss | 2.5129717542 |         11 | 2147.164782524109
note_vel_diff loss | 3.1354251895 |         11 | 2147.164934873581
train loss | 1.6126004849 |         12 | 2331.5763235092163
learning rate | 0.0010000000 |         12 | 2331.576767206192
type loss  | 0.0041763711 |         12 | 2331.5770134925842
ibi loss   | 0.4663677854 |         12 | 2331.5772037506104
local_vel_mean loss | 0.5947203251 |         12 | 2331.577358484268
artic loss | 2.9621321335 |         12 | 2331.5775096416473
timing_dev loss | 2.5118302293 |         12 | 2331.5776505470276
